	Chemical name	Internal compound ID	Compound Class	PubChem CID	PUBCHEM_isosmiles
466	Rifapentine	PW6-G8	pharmaceutical drugs	135659016	C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N\N5CCN(CC5)C6CCCC6)/C
467	Neostigmine bromide	PW6-G9	pharmaceutical drugs	4456	CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
468	Niridazole	PW6-G10	pharmaceutical drugs	6093	C1CN(C(=O)N1)C2=NC=C(S2)[N+](=O)[O-]
469	Ceforanide	PW6-G11	pharmaceutical drugs	43507	C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3CN)C(=O)O)CSC4=NN=NN4CC(=O)O
470	Vatalanib	PW6-H2	pharmaceutical drugs	151194	C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4
471	Itopride	PW6-H3	pharmaceutical drugs	3792	CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC
472	Cefotetan	PW6-H4	pharmaceutical drugs	53025	CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O
473	Fentiazac	PW6-H5	pharmaceutical drugs	28871	C1=CC=C(C=C1)C2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl
474	Brompheniramine maleate	PW6-H6	pharmaceutical drugs	6834	CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2
475	Primaquine diphosphate	PW6-H7	pharmaceutical drugs	4908	CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2
476	Progesterone	PW6-H8	pharmaceutical drugs	5994	CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
477	Felodipine	PW6-H9	pharmaceutical drugs	3333	CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
478	Raclopride	PW6-H10	pharmaceutical drugs	3033769	CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O
480	Serotonin hydrochloride	PW7-A2	pharmaceutical drugs	5202	C1=CC2=C(C=C1O)C(=CN2)CCN
481	Cefotiam hydrochloride	PW7-A3	pharmaceutical drugs	43708	CN(C)CCN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O
482	Rofecoxib	PW7-A4	pharmaceutical drugs	5090	CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
483	Benperidol	PW7-A5	pharmaceutical drugs	16363	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
484	Cefaclor hydrate	PW7-A6	pharmaceutical drugs	51039	C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl
485	Colistin sulfate	PW7-A7	pharmaceutical drugs	5311054	CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)[C@@H](C)O
486	Daunorubicin hydrochloride	PW7-A8	pharmaceutical drugs	30323	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
487	Dosulepin hydrochloride	PW7-A9	pharmaceutical drugs	5284550	CN(C)CC/C=C/1\C2=CC=CC=C2CSC3=CC=CC=C31
488	Ceftazidime pentahydrate	PW7-A10	pharmaceutical drugs	5484131	CC(C)(C(=O)O)O/N=C(\C1=CSC(=N1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
489	Iobenguane sulfate	PW7-A11	pharmaceutical drugs	60860	C1=CC(=CC(=C1)I)CN=C(N)N
490	Metixene hydrochloride	PW7-B2	pharmaceutical drugs	4167	CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24
491	Nitrofural	PW7-B3	pharmaceutical drugs	5353356	C1=C(OC(=C1)[N+](=O)[O-])/C=N\NC(=O)N
492	Omeprazole	PW7-B4	pharmaceutical drugs	4594	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
493	Propylthiouracil	PW7-B5	pharmaceutical drugs	657298	CCCC1=CC(=O)NC(=S)N1
494	Terconazole	PW7-B6	pharmaceutical drugs	441383	CC(C)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=NC=N4)C5=C(C=C(C=C5)Cl)Cl
495	Tiaprofenic acid	PW7-B7	pharmaceutical drugs	5468	CC(C1=CC=C(S1)C(=O)C2=CC=CC=C2)C(=O)O
496	Vancomycin hydrochloride	PW7-B8	pharmaceutical drugs	5651	CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
497	Artemisinin	PW7-B9	pharmaceutical drugs	68827	C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C
498	Propafenone hydrochloride	PW7-B10	pharmaceutical drugs	4932	CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O
499	Ethamivan	PW7-B11	pharmaceutical drugs	9363	CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC
500	Vigabatrin hydrochloride	PW7-C2	pharmaceutical drugs	5665	C=CC(CCC(=O)O)N
501	Biperiden hydrochloride	PW7-C3	pharmaceutical drugs	25137775	C1CCN(CC1)CCC(C2C[C@H]3C[C@@H]2C=C3)(C4=CC=CC=C4)O.Cl
502	Cetirizine dihydrochloride	PW7-C4	pharmaceutical drugs	2678	C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
503	Etifenin	PW7-C5	pharmaceutical drugs	170344	CCC1=C(C(=CC=C1)CC)NC(=O)CN(CC(=O)O)CC(=O)O
504	Metaproterenol sulfate	PW7-C6	pharmaceutical drugs	69049742	CC(C)NCC(C1=CC(=CC(=C1)O)O)O.CC(C)NCC(C1=CC(=CC(=C1)O)O)O
505	Sisomicin sulfate	PW7-C7	pharmaceutical drugs	23789067	C[C@]1(CO[C@H]([C@@H]([C@@H]1NC)O)O[C@@H]2[C@H](C[C@H]([C@@H]([C@@H]2O)OC3C(CC=C(O3)CN)N)N)N)O
506	Sibutramine hydrochloride	PW7-C8	pharmaceutical drugs	5210	CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C
507	Acenocoumarol	PW7-C9	pharmaceutical drugs	54676537	CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
508	Bromperidol	PW7-C10	pharmaceutical drugs	2448	C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F
509	Cyclizine hydrochloride	PW7-C11	pharmaceutical drugs	6726	CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3
510	Fluoxetine hydrochloride	PW7-D2	pharmaceutical drugs	3386	CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
511	Iohexol	PW7-D3	pharmaceutical drugs	3730	CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I
512	Norcyclobenzaprine	PW7-D4	pharmaceutical drugs	9918	CNCCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31
513	Pyrazinamide	PW7-D5	pharmaceutical drugs	1046	C1=CN=C(C=N1)C(=O)N
514	Trimethadione	PW7-D6	pharmaceutical drugs	5576	CC1(C(=O)N(C(=O)O1)C)C
515	Lovastatin	PW7-D7	pharmaceutical drugs	53232	CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
516	Nystatine	PW7-D8	pharmaceutical drugs	11468707	C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC\2CC(C(C(CC(=O)CC(C(CCC(CC(CC(CC(=O)OC(C(C(C(/C=C/C=C/CC/C=C/C=C/C=C/C=C2)C)O)C)C)O)O)O)O)O)O)C(=O)O)O)O)N)O
517	Budesonide	PW7-D9	pharmaceutical drugs	5281004	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C
518	Imipenem	PW7-D10	pharmaceutical drugs	104838	C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O
519	Sulfasalazine	PW7-D11	pharmaceutical drugs	5339	C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O
520	Lofexidine	PW7-E2	pharmaceutical drugs	30668	CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl
521	Thiostrepton	PW7-E3	pharmaceutical drugs	16129666	CCC(C)C1C(=O)NC(C(=O)NC(=C)C(=O)NC(C(=O)NC23CCC(=NC2C4=CSC(=N4)C(C(OC(=O)C5=NC6=C(C=CC(C6O)N1)C(=C5)C(C)O)C)NC(=O)C7=CSC(=N7)C(NC(=O)C8CSC(=N8)/C(=C\C)/NC(=O)C(NC(=O)C9=CSC3=N9)C(C)O)C(C)(C(C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C
522	Miglitol	PW7-E4	pharmaceutical drugs	441314	C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O
524	Rifampicin	PW7-E6	pharmaceutical drugs	135550179	C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N\N5CCN(CC5)C)/C
525	Ethionamide	PW7-E7	pharmaceutical drugs	2761171	CCC1=NC=CC(=C1)C(=S)N
526	Tenoxicam	PW7-E8	pharmaceutical drugs	54677971	CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3
527	Triflusal	PW7-E9	pharmaceutical drugs	9458	CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(=O)O
528	Mesoridazine besylate	PW7-E10	pharmaceutical drugs	4078	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
529	Trolox	PW7-E11	pharmaceutical drugs	40634	CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C
530	Pirenperone	PW7-F2	pharmaceutical drugs	4847	CC1=C(C(=O)N2C=CC=CC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F
531	Grepafloxacin	PW7-F3	pharmaceutical drugs	72474	CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F
532	Phenacetin	PW7-F4	pharmaceutical drugs	4754	CCOC1=CC=C(C=C1)NC(=O)C
533	Atovaquone	PW7-F5	pharmaceutical drugs	74989	C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O
534	Methoxamine hydrochloride	PW7-F6	pharmaceutical drugs	6082	CC(C(C1=C(C=CC(=C1)OC)OC)O)N
535	(S,-) Atenolol	PW7-F7	pharmaceutical drugs	180559	CC(C)NC[C@H](COC1=CC=C(C=C1)CC(=O)N)O
536	Piracetam	PW7-F8	pharmaceutical drugs	4843	C1CC(=O)N(C1)CC(=O)N
537	Phenindione	PW7-F9	pharmaceutical drugs	4760	C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O
538	Thiocolchicoside	PW7-F10	pharmaceutical drugs	9915886	CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)SC)OC)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
539	Clorsulon	PW7-F11	pharmaceutical drugs	43231	C1=C(C(=CC(=C1N)S(=O)(=O)N)S(=O)(=O)N)C(=C(Cl)Cl)Cl
540	Ciclopirox ethanolamine	PW7-G2	pharmaceutical drugs	2749	CC1=CC(=O)N(C(=C1)C2CCCCC2)O
541	Probenecid	PW7-G3	pharmaceutical drugs	4911	CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O
542	Betahistine mesylate	PW7-G4	pharmaceutical drugs	2366	CNCCC1=CC=CC=N1
543	Tobramycin	PW7-G5	pharmaceutical drugs	36294	C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)CN)O)N)N
544	Tetramisole hydrochloride	PW7-G6	pharmaceutical drugs	3913	C1CSC2=NC(CN21)C3=CC=CC=C3
545	Pregnenolone	PW7-G7	pharmaceutical drugs	8955	CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
546	Molsidomine	PW7-G8	pharmaceutical drugs	4238	CCOC(=NC1=C[N+](=NO1)N2CCOCC2)[O-]
547	Chloroquine diphosphate	PW7-G9	pharmaceutical drugs	2719	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
548	Trimetazidine dihydrochloride	PW7-G10	pharmaceutical drugs	21109	COC1=C(C(=C(C=C1)CN2CCNCC2)OC)OC
549	Ropivacaine hydrochloride	PW7-G11	pharmaceutical drugs	175805	CCCN1CCCC[C@H]1C(=O)NC2=C(C=CC=C2C)C
550	Hexetidine	PW7-H2	pharmaceutical drugs	3607	CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N
551	Selegiline hydrochloride	PW7-H3	pharmaceutical drugs	26757	C[C@H](CC1=CC=CC=C1)N(C)CC#C
552	Pentamidine isethionate	PW7-H4	pharmaceutical drugs	4735	C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N
553	Tolazamide	PW7-H5	pharmaceutical drugs	5503	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2
554	Nifuroxazide	PW7-H6	pharmaceutical drugs	5390108	C1=CC(=CC=C1C(=O)N/N=C\C2=CC=C(O2)[N+](=O)[O-])O
555	Mirtazapine	PW7-H7	pharmaceutical drugs	4205	CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
556	Dirithromycin	PW7-H8	pharmaceutical drugs	6473883	CC[C@@H]1[C@@]([C@H]2[C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)OC)C)O[C@H]4[C@@H]([C@H](C[C@H](O4)C)N(C)C)O)(C)O)C)N[C@H](O2)COCCOC)C)(C)O
557	Gliclazide	PW7-H9	pharmaceutical drugs	3475	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
558	Tazarotene	PW7-H10	pharmaceutical drugs	5381	CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C
559	Prenylamine lactate	PW7-H11	pharmaceutical drugs	9801	CC(CC1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3
560	Ziprasidone  hydrochloride monohydrate	PW8-A2	pharmaceutical drugs	60854	C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54
561	Pomalidomide	PW8-A3	pharmaceutical drugs	134780	C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
562	Pyridostigmine iodide	PW8-A4	pharmaceutical drugs	4991	C[N+]1=CC=CC(=C1)OC(=O)N(C)C
563	Pentobarbital	PW8-A5	pharmaceutical drugs	4737	CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
564	Atropine sulfate monohydrate	PW8-A6	pharmaceutical drugs	73707493	CN1[C@@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.CN1[C@@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
565	Eserine hemisulfate salt	PW8-A7	pharmaceutical drugs	73707354	C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
566	Itraconazole	PW8-A8	pharmaceutical drugs	3793	CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
567	Acarbose	PW8-A9	pharmaceutical drugs	444254	C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO
568	Entacapone	PW8-A10	pharmaceutical drugs	5281081	CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N
569	Nicotinamide	PW8-A11	pharmaceutical drugs	936	C1=CC(=CN=C1)C(=O)N
570	Tetracaine hydrochloride	PW8-B2	pharmaceutical drugs	5411	CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C
571	Mometasone furoate	PW8-B3	pharmaceutical drugs	441336	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C
572	Troglitazone	PW8-B4	pharmaceutical drugs	5591	CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
573	Dacarbazine	PW8-B5	pharmaceutical drugs	2942	CN(C)N=NC1=C(NC=N1)C(=O)N
574	Tenatoprazole	PW8-B6	pharmaceutical drugs	636411	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=CC(=N3)OC
575	Acetopromazine maleate salt	PW8-B7	pharmaceutical drugs	6077	CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C
576	Escitalopram oxalate	PW8-B8	pharmaceutical drugs	146570	CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
577	Ropinirole hydrochloride	PW8-B9	pharmaceutical drugs	5095	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
578	Lacidipine	PW8-B10	pharmaceutical drugs	5311217	CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2/C=C/C(=O)OC(C)(C)C)C(=O)OCC)C)C
579	Argatroban	PW8-B11	pharmaceutical drugs	92722	C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
580	Reboxetine mesylate	PW8-C2	pharmaceutical drugs	5311403	CCOC1=CC=CC=C1O[C@H]([C@H]2CNCCO2)C3=CC=CC=C3
581	Camylofine chlorhydrate	PW8-C3	pharmaceutical drugs	5902	CCN(CC)CCNC(C1=CC=CC=C1)C(=O)OCCC(C)C
582	Papaverine hydrochloride	PW8-C4	pharmaceutical drugs	4680	COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC
583	Yohimbine hydrochloride	PW8-C5	pharmaceutical drugs	8969	COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O
584	Voriconazole	PW8-C6	pharmaceutical drugs	71616	C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O
585	Teriflunomide	PW8-C7	pharmaceutical drugs	54677977	CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O
586	Cilostazol	PW8-C8	pharmaceutical drugs	2754	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
587	Galanthamine hydrobromide	PW8-C9	pharmaceutical drugs	9651	CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O
588	Azelastine hydrochloride	PW8-C10	pharmaceutical drugs	2267	CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
589	Etretinate	PW8-C11	pharmaceutical drugs	5282375	CCOC(=O)/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C(=C(C=C1C)OC)C)C
590	Emedastine difumarate	PW8-D2	pharmaceutical drugs	3219	CCOCCN1C2=CC=CC=C2N=C1N3CCCN(CC3)C
591	Etofenamate	PW8-D3	pharmaceutical drugs	35375	C1=CC=C(C(=C1)C(=O)OCCOCCO)NC2=CC=CC(=C2)C(F)(F)F
592	Zaleplon	PW8-D4	pharmaceutical drugs	5719	CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C
593	Diclofenac sodium	PW8-D5	pharmaceutical drugs	3032	C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl
594	Exemestane	PW8-D6	pharmaceutical drugs	60198	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C
595	Fomepizole	PW8-D7	pharmaceutical drugs	3406	CC1=CNN=C1
596	Temozolomide	PW8-D8	pharmaceutical drugs	5394	CN1C(=O)N2C=NC(=C2N=N1)C(=O)N
597	Xylazine	PW8-D9	pharmaceutical drugs	5707	CC1=C(C(=CC=C1)C)NC2=NCCCS2
598	Celiprolol hydrochloride	PW8-D10	pharmaceutical drugs	2663	CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C
599	Zopiclone	PW8-D11	pharmaceutical drugs	5735	CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl
600	Tranilast	PW8-E2	pharmaceutical drugs	5282230	COC1=C(C=C(C=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)O)OC
601	Tizanidine hydrochloride	PW8-E3	pharmaceutical drugs	5487	C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl
602	Zafirlukast	PW8-E4	pharmaceutical drugs	5717	CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC
603	Butenafine hydrochloride	PW8-E5	pharmaceutical drugs	2484	CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
604	Carbadox	PW8-E6	pharmaceutical drugs	136662877	COC(=O)N/N=C\C1=[N+](C2=CC=CC=C2[N+](=C1)[O-])[O-]
605	Rimantadine hydrochloride	PW8-E7	pharmaceutical drugs	5071	CC(C12CC3CC(C1)CC(C3)C2)N
606	Tirofiban hydrochloride	PW8-E8	pharmaceutical drugs	60947	CCCCS(=O)(=O)N[C@@H](CC1=CC=C(C=C1)OCCCCC2CCNCC2)C(=O)O
607	Oxibendazol	PW8-E9	pharmaceutical drugs	4622	CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
608	Ipsapirone	PW8-E10	pharmaceutical drugs	56971	C1CN(CCN1CCCCN2C(=O)C3=CC=CC=C3S2(=O)=O)C4=NC=CC=N4
609	Hydroxychloroquine sulfate	PW8-E11	pharmaceutical drugs	3652	CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
610	Dithiazanine iodide	PW8-F2	pharmaceutical drugs	10578	CCN1C2=CC=CC=C2SC1=CC=CC=CC3=[N+](C4=CC=CC=C4S3)CC.[I-]
611	Fenipentol	PW8-F3	pharmaceutical drugs	3338	CCCCC(C1=CC=CC=C1)O
612	Diosmin	PW8-F4	pharmaceutical drugs	5281613	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
613	Carbidopa	PW8-F5	pharmaceutical drugs	34359	C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
614	(-) Emtricitabine	PW8-F6	pharmaceutical drugs	60877	C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F
615	Demecarium bromide	PW8-F7	pharmaceutical drugs	5966	CN(CCCCCCCCCCN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C)C(=O)OC2=CC=CC(=C2)[N+](C)(C)C
616	Tolvaptan	PW8-F8	pharmaceutical drugs	443894	CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCC[C@H](C4=C3C=CC(=C4)Cl)O)C
617	Acipimox	PW8-F9	pharmaceutical drugs	5310993	CC1=CN=C(C=[N+]1[O-])C(=O)O
618	Diflorasone Diacetate	PW8-F10	pharmaceutical drugs	71414	C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F
619	Acamprosate calcium	PW8-F11	pharmaceutical drugs	3636249	CC(=O)NCCCS(=O)(=O)[O-]
620	Mizolastine	PW8-G2	pharmaceutical drugs	65906	CN(C1CCN(CC1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F)C5=NC=CC(=O)N5
621	Amisulpride	PW8-G3	pharmaceutical drugs	2159	CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
622	Pyridoxine hydrochloride	PW8-G4	pharmaceutical drugs	1054	CC1=NC=C(C(=C1O)CO)CO
623	Mercaptopurine	PW8-G5	pharmaceutical drugs	667490	C1=NC2=C(N1)C(=S)N=CN2
624	Cytarabine	PW8-G6	pharmaceutical drugs	6253	C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O
625	Racecadotril	PW8-G7	pharmaceutical drugs	107751	CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2
626	Folic acid	PW8-G8	pharmaceutical drugs	135398658	C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
